SampleID	DolphinID	Species	BodySite	Gender	Contra	Age	Origin	Wild	Facility	Code	Habitat	Type	Environment	Forward	Reverse	PCR30	PCR35
32SR	32	Tt	Rectal	f	Y	19	H	N	DC	FL3	DC	Swab	Seapen	A	3	Y	n/a
34S	34	Tt	Genital_P	m	n/a	9	H	N	DC	FL3	DC	Swab	Seapen	B	3	Y	n/a
34SS	34	Tt	Skin	m	n/a	9	H	N	DC	FL3	DC	Swab	Seapen	D	3	Y	n/a
34SB	34	Tt	Blowhole	m	n/a	9	H	N	DC	FL3	DC	Swab	Seapen	E	3	Y	n/a
34SG	34	Tt	Gastric	m	n/a	9	H	N	DC	FL3	DC	Swab	Seapen	F	3	Y	n/a
34SR	34	Tt	Rectal	m	n/a	9	H	N	DC	FL3	DC	Swab	Seapen	G	3	Y	n/a
29S	29	Tt	Genital_V	f	Y	23	H	N	DC	FL3	DC	Swab	Seapen	H	3	Y	n/a
29SS	29	Tt	Skin	f	Y	23	H	N	DC	FL3	DC	Swab	Seapen	I	3	Y	n/a
29SB	29	Tt	Blowhole	f	Y	23	H	N	DC	FL3	DC	Swab	Seapen	J	3	Y	n/a
29SG	29	Tt	Gastric	f	Y	23	H	N	DC	FL3	DC	Swab	Seapen	K	3	Y	n/a
29SR	29	Tt	Rectal	f	Y	23	H	N	DC	FL3	DC	Swab	Seapen	L	3	Y	n/a
DQ1	n/a	Tt	n/a	n/a	n/a	n/a	n/a	N	DQ1	HI2	DQ-L4	Water	Seapen	M	3	Y	n/a
DQ2	n/a	Tt	n/a	n/a	n/a	n/a	n/a	N	DQ2	HI1	DQ-L4	Water	Seapen	A	4	Y	n/a
DQ3	n/a	Tt	n/a	n/a	n/a	n/a	n/a	N	DQ3	HI2	DQ-L2	Water	Seapen	B	4	Y	n/a
DQ4	n/a	Tt	n/a	n/a	n/a	n/a	n/a	N	DQ	HI1	DQ-MSC_HT1	Water	Seapen	D	4	Y	n/a
DQ5	n/a	Tt	n/a	n/a	n/a	n/a	n/a	N	DQ	HI1	DQ-MSC_HT2	Water	Seapen	E	4	Y	n/a
52S	52	Tt	Genital_P	m	n/a	27	H	N	DQ1	HI2	DQ-L4	Swab	Seapen	F	4	Y	n/a
52SS	52	Tt	Skin	m	n/a	27	H	N	DQ1	HI2	DQ-L4	Swab	Seapen	G	4	Y	n/a
52SB	52	Tt	Blowhole	m	n/a	27	H	N	DQ1	HI2	DQ-L4	Swab	Seapen	H	4	Y	n/a
52SG	52	Tt	Gastric	m	n/a	27	H	N	DQ1	HI2	DQ-L4	Swab	Seapen	I	4	Y	n/a
52SR	52	Tt	Rectal	m	n/a	27	H	N	DQ1	HI2	DQ-L4	Swab	Seapen	J	4	Y	n/a
51S	51	Tt	Genital_P	m	n/a	39	W	N	DQ1	HI2	DQ-L4	Swab	Seapen	K	4	Y	n/a
51SS	51	Tt	Skin	m	n/a	39	W	N	DQ1	HI2	DQ-L4	Swab	Seapen	L	4	Y	n/a
51SB	51	Tt	Blowhole	m	n/a	39	W	N	DQ1	HI2	DQ-L4	Swab	Seapen	M	4	Y	n/a
51SG	51	Tt	Gastric	m	n/a	39	W	N	DQ1	HI2	DQ-L4	Swab	Seapen	A	5	Y	n/a
51SR	51	Tt	Rectal	m	n/a	39	W	N	DQ1	HI2	DQ-L4	Swab	Seapen	B	5	Y	n/a
56S	56	Tt	Genital_P	m	n/a	29	H	N	DQ1	HI2	DQ-L2	Swab	Seapen	D	5	Y	n/a
56SS	56	Tt	Skin	m	n/a	29	H	N	DQ1	HI2	DQ-L2	Swab	Seapen	E	5	Y	n/a
56SB	56	Tt	Blowhole	m	n/a	29	H	N	DQ1	HI2	DQ-L2	Swab	Seapen	F	5	Y	n/a
56SG	56	Tt	Gastric	m	n/a	29	H	N	DQ1	HI2	DQ-L2	Swab	Seapen	G	5	Y	n/a
56SR	56	Tt	Rectal	m	n/a	29	H	N	DQ1	HI2	DQ-L2	Swab	Seapen	H	5	Y	n/a
55S	55	Tt	Genital_P	m	n/a	33	H	N	DQ1	HI2	DQ-L2	Swab	Seapen	I	5	Y	n/a
55SS	55	Tt	Skin	m	n/a	33	H	N	DQ1	HI2	DQ-L2	Swab	Seapen	J	5	VW	Y
55SB	55	Tt	Blowhole	m	n/a	33	H	N	DQ1	HI2	DQ-L2	Swab	Seapen	K	5	Y	n/a
55SG	55	Tt	Gastric	m	n/a	33	H	N	DQ1	HI2	DQ-L2	Swab	Seapen	L	5	Y	n/a
55SR	55	Tt	Rectal	m	n/a	33	H	N	DQ1	HI2	DQ-L2	Swab	Seapen	M	5	Y	n/a
53S	53	Tt	Genital_P	m	n/a	30	H	N	DQ1	HI2	DQ-L4	Swab	Seapen	A	6	Y	n/a
53SS	53	Tt	Skin	m	n/a	30	H	N	DQ1	HI2	DQ-L4	Swab	Seapen	B	6	Y	n/a
53SB	53	Tt	Blowhole	m	n/a	30	H	N	DQ1	HI2	DQ-L4	Swab	Seapen	D	6	Y	n/a
53SG	53	Tt	Gastric	m	n/a	30	H	N	DQ1	HI2	DQ-L4	Swab	Seapen	E	6	Y	n/a
53SR	53	Tt	Rectal	m	n/a	30	H	N	DQ1	HI2	DQ-L4	Swab	Seapen	F	6	Y	n/a
54S	54	Tt	Genital_P	m	n/a	16	H	N	DQ1	HI2	DQ-L4	Swab	Seapen	G	6	Y	n/a
54SS	54	Tt	Skin	m	n/a	16	H	N	DQ1	HI2	DQ-L4	Swab	Seapen	H	6	W	n/a
54SB	54	Tt	Blowhole	m	n/a	16	H	N	DQ1	HI2	DQ-L4	Swab	Seapen	I	6	Y	n/a
54SG	54	Tt	Gastric	m	n/a	16	H	N	DQ1	HI2	DQ-L4	Swab	Seapen	J	6	Y	n/a
54SR	54	Tt	Rectal	m	n/a	16	H	N	DQ1	HI2	DQ-L4	Swab	Seapen	K	6	Y	n/a
58S	58	Tt	Genital_V	f	Y	39	W	N	DQ2	HI1	DQ-MS	Swab	Seapen	L	6	Y	n/a
58SS	58	Tt	Skin	f	Y	39	W	N	DQ2	HI1	DQ-MS	Swab	Seapen	M	6	N	Y
58SB	58	Tt	Blowhole	f	Y	39	W	N	DQ2	HI1	DQ-MS	Swab	Seapen	A	7	Y	n/a
58SM	58	Tt	Mammary	f	Y	39	W	N	DQ2	HI1	DQ-MS	Swab	Seapen	B	7	Y	n/a
58SG	58	Tt	Gastric	f	Y	39	W	N	DQ2	HI1	DQ-MS	Swab	Seapen	D	7	Y	n/a
58SR	58	Tt	Rectal	f	Y	39	W	N	DQ2	HI1	DQ-MS	Swab	Seapen	E	7	Y	n/a
59S	59	Tt	Genital_V	f	N	5	H	N	DQ2	HI1	DQ-MS	Swab	Seapen	F	7	Y	n/a
59SS-S4	59	Tt	Skin	f	N	5	H	N	DQ2	HI1	DQ-MS	Swab	Seapen	G	7	VW	Y
59SB-S4	59	Tt	Blowhole	f	N	5	H	N	DQ2	HI1	DQ-MS	Swab	Seapen	H	7	Y	n/a
59SM	59	Tt	Mammary	f	N	5	H	N	DQ2	HI1	DQ-MS	Swab	Seapen	I	7	Y	n/a
59SG	59	Tt	Gastric	f	N	5	H	N	DQ2	HI1	DQ-MS	Swab	Seapen	J	7	W	n/a
59SR	59	Tt	Rectal	f	N	5	H	N	DQ2	HI1	DQ-MS	Swab	Seapen	K	7	Y	n/a
60S	60	Tt	Genital_V	f	Y	17	H	N	DQ2	HI1	DQ-S	Swab	Seapen	L	7	Y	n/a
60SS	60	Tt	Skin	f	Y	17	H	N	DQ2	HI1	DQ-S	Swab	Seapen	M	7	VW	Y
60SB	60	Tt	Blowhole	f	Y	17	H	N	DQ2	HI1	DQ-S	Swab	Seapen	A	8	Y	n/a
60SM	60	Tt	Mammary	f	Y	17	H	N	DQ2	HI1	DQ-S	Swab	Seapen	B	8	Y	n/a
60SG	60	Tt	Gastric	f	Y	17	H	N	DQ2	HI1	DQ-S	Swab	Seapen	D	8	Y	n/a
60SR	60	Tt	Rectal	f	Y	17	H	N	DQ2	HI1	DQ-S	Swab	Seapen	E	8	Y	n/a
61S	61	Tt	Genital_V	f	Y	24	H	N	DQ2	HI1	DQ-C	Swab	Seapen	F	8	Y	n/a
61SS	61	Tt	Skin	f	Y	24	H	N	DQ2	HI1	DQ-C	Swab	Seapen	G	8	Y	n/a
61SB	61	Tt	Blowhole	f	Y	24	H	N	DQ2	HI1	DQ-C	Swab	Seapen	H	8	Y	n/a
61SM	61	Tt	Mammary	f	Y	24	H	N	DQ2	HI1	DQ-C	Swab	Seapen	I	8	Y	n/a
61SG	61	Tt	Gastric	f	Y	24	H	N	DQ2	HI1	DQ-C	Swab	Seapen	J	8	Y	n/a
61SR	61	Tt	Rectal	f	Y	24	H	N	DQ2	HI1	DQ-C	Swab	Seapen	K	8	Y	n/a
62S	62	Tt	Genital_P	m	Y	25	H	N	DQ2	HI1	DQ-A	Swab	Seapen	L	8	Y	n/a
62SS	62	Tt	Skin	m	Y	25	H	N	DQ2	HI1	DQ-A	Swab	Seapen	M	8	VW	Y
62SB	62	Tt	Blowhole	m	Y	25	H	N	DQ2	HI1	DQ-A	Swab	Seapen	A	9	Y	n/a
62SG	62	Tt	Gastric	m	Y	25	H	N	DQ2	HI1	DQ-A	Swab	Seapen	B	9	VW	Y
62SR-S4	62	Tt	Rectal	m	Y	25	H	N	DQ2	HI1	DQ-A	Swab	Seapen	D	9	Y	n/a
63S	63	Tt	Genital_V	f	Y	22	H	N	DQ2	HI1	DQ-C	Swab	Seapen	E	9	Y	n/a
63SS	63	Tt	Skin	f	Y	22	H	N	DQ2	HI1	DQ-C	Swab	Seapen	F	9	VW	Y
63SB	63	Tt	Blowhole	f	Y	22	H	N	DQ2	HI1	DQ-C	Swab	Seapen	G	9	Y	n/a
63SM	63	Tt	Mammary	f	Y	22	H	N	DQ2	HI1	DQ-C	Swab	Seapen	H	9	Y	n/a
63SG	63	Tt	Gastric	f	Y	22	H	N	DQ2	HI1	DQ-C	Swab	Seapen	I	9	Y	n/a
63SR	63	Tt	Rectal	f	Y	22	H	N	DQ2	HI1	DQ-C	Swab	Seapen	J	9	Y	n/a
64S	64	Tt	Genital_V	f	N	4	H	N	DQ2	HI1	DQ-MS	Swab	Seapen	K	9	Y	n/a
64SS	64	Tt	Skin	f	N	4	H	N	DQ2	HI1	DQ-MS	Swab	Seapen	L	9	N	Y
64SB	64	Tt	Blowhole	f	N	4	H	N	DQ2	HI1	DQ-MS	Swab	Seapen	M	9	Y	n/a
64SM	64	Tt	Mammary	f	N	4	H	N	DQ2	HI1	DQ-MS	Swab	Seapen	E	10	Y	n/a
64SG	64	Tt	Gastric	f	N	4	H	N	DQ2	HI1	DQ-MS	Swab	Seapen	B	10	Y	n/a
64SR	64	Tt	Rectal	f	N	4	H	N	DQ2	HI1	DQ-MS	Swab	Seapen	D	10	Y	n/a
EP	n/a	Tt	n/a	n/a	n/a	n/a	n/a	N	GW	FL4	GW-E	Water	Tank	A	10	Y	n/a
38S	38	Tt	Genital_P	m	n/a	14	H	N	GW	FL4	GW	Swab	Tank	F	10	Y	n/a
38SS	38	Tt	Skin	m	n/a	14	H	N	GW	FL4	GW	Swab	Tank	G	10	N	W
38SB	38	Tt	Blowhole	m	n/a	14	H	N	GW	FL4	GW	Swab	Tank	H	10	Y	n/a
38SG	38	Tt	Gastric	m	n/a	14	H	N	GW	FL4	GW	Swab	Tank	I	10	Y	n/a
38SR	38	Tt	Rectal	m	n/a	14	H	N	GW	FL4	GW	Swab	Tank	J	10	Y	n/a
39S	39	Tt	Genital_P	m	n/a	13	H	N	GW	FL4	GW	Swab	Tank	K	10	Y	n/a
39SS	39	Tt	Skin	m	n/a	13	H	N	GW	FL4	GW	Swab	Tank	L	10	N	W
39SB	39	Tt	Blowhole	m	n/a	13	H	N	GW	FL4	GW	Swab	Tank	M	10	Y	n/a
39SG	39	Tt	Gastric	m	n/a	13	H	N	GW	FL4	GW	Swab	Tank	A	11	Y	n/a
39SR	39	Tt	Rectal	m	n/a	13	H	N	GW	FL4	GW	Swab	Tank	B	11	Y	n/a
40S	40	Tt	Genital_V	f	Y	18	H	N	GW	FL4	GW	Swab	Tank	D	11	Y	n/a
40SS	40	Tt	Skin	f	Y	18	H	N	GW	FL4	GW	Swab	Tank	E	11	N	W
40SB	40	Tt	Blowhole	f	Y	18	H	N	GW	FL4	GW	Swab	Tank	F	11	Y	n/a
40SM	40	Tt	Mammary	f	Y	18	H	N	GW	FL4	GW	Swab	Tank	G	11	Y	n/a
40SG	40	Tt	Gastric	f	Y	18	H	N	GW	FL4	GW	Swab	Tank	H	11	Y	n/a
40SR	40	Tt	Rectal	f	Y	18	H	N	GW	FL4	GW	Swab	Tank	I	11	Y	n/a
36S	36	Tt	Genital_V	f	Y	10	H	N	GW	FL4	GW	Swab	Tank	J	11	Y	n/a
36SS	36	Tt	Skin	f	Y	10	H	N	GW	FL4	GW	Swab	Tank	K	11	N	Y
36SB	36	Tt	Blowhole	f	Y	10	H	N	GW	FL4	GW	Swab	Tank	L	11	Y	n/a
36SM	36	Tt	Mammary	f	Y	10	H	N	GW	FL4	GW	Swab	Tank	M	11	Y	n/a
36SG	36	Tt	Gastric	f	Y	10	H	N	GW	FL4	GW	Swab	Tank	A	12	Y	n/a
36SR	36	Tt	Rectal	f	Y	10	H	N	GW	FL4	GW	Swab	Tank	B	12	Y	n/a
44S	44	Tt	Genital_V	f	Y	7	H	N	GW	FL4	GW	Swab	Tank	D	12	Y	n/a
44SS	44	Tt	Skin	f	Y	7	H	N	GW	FL4	GW	Swab	Tank	E	12	N	Y
44SB	44	Tt	Blowhole	f	Y	7	H	N	GW	FL4	GW	Swab	Tank	F	12	VW	W
44SM	44	Tt	Mammary	f	Y	7	H	N	GW	FL4	GW	Swab	Tank	G	12	Y	n/a
44SG	44	Tt	Gastric	f	Y	7	H	N	GW	FL4	GW	Swab	Tank	H	12	Y	n/a
44SR	44	Tt	Rectal	f	Y	7	H	N	GW	FL4	GW	Swab	Tank	I	12	Y	n/a
